uuid,name,value,comment
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_REGULAR,0,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_ITEM,1,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_THROW,2,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_ARITHMETICKS,3,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_GEOMANCY,4,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_UNK_5,5,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_MONSTER,6,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_IAIDO,7,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_ATTACK,8,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_JUMP,9,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_AIM,10,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_DEFEND,11,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_REEQUIP,12,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_UNK_D,13,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_UNK_E,14,
e628f924-c3c7-4c65-8e9d-65c1438a125d,ACTION_TYPE_UNK_F,15,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_NULL,0,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_LOAD,1,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_DYNAMIC,2,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_INTERP,3,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_NOTE,4,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_SHLIB,5,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_PHDR,6,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_TLS,7,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_GNU_EH_FRAME,1685382480,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_GNU_STACK,1685382481,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_GNU_RELRO,1685382482,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_MIPS_REGINFO,1879048192,
b2164b76-5d34-4418-9914-8020a06de8d9,PT_MIPS_OPTIONS,1879048194,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_NULL,0,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_PROGBITS,1,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_SYMTAB,2,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_STRTAB,3,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_RELA,4,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_HASH,5,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_DYNAMIC,6,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_NOTE,7,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_NOBITS,8,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_REL,9,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_SHLIB,10,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_DYNSYM,11,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_INIT_ARRAY,14,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_FINI_ARRAY,15,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_PREINIT_ARRAY,16,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_GROUP,17,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_SYMTAB_SHNDX,18,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_GNU_ATTRIBUTES,1879048181,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_GNU_HASH,1879048182,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_GNU_LIBLIST,1879048183,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_CHECKSUM,1879048184,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_SUNW_move,1879048186,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_SUNW_COMDAT,1879048187,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_SUNW_syminfo,1879048188,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_GNU_verdef,1879048189,
54729768-7bd6-4bdc-908d-4e437c641975,SHT_GNU_verneed,1879048190,
